"","ID","Side","Body.Part","Photo","Time","Page","Meta","Shape","Temp","report.file","path","date.retrieved","temperature.in.c","Left.Side","Right.Side","Inner.Ear","Outer.Ear","Eye","Flank"
"1","G01","Left","Inner Ear","FLIR2269.jpg",2023-06-28 09:13:03,1,"G01 Left inner ear","El1","100,0 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,37.7777777777778,1,0,1,0,0,0
"2","G01","Right","Inner Ear","FLIR2265.jpg",2023-06-28 09:12:33,2,"G01 Right nner ear","El1","100,3 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,37.9444444444444,0,1,1,0,0,0
"3","G02","Left","Inner Ear","FLIR2246.jpg",2023-06-28 07:55:27,3,"G02 Left inner ear","El1","91,6 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,33.1111111111111,1,0,1,0,0,0
"4","G02","Right","Inner Ear","FLIR2247.jpg",2023-06-28 07:55:32,4,"G02 Right inner ear","El1","88,5 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,31.3888888888889,0,1,1,0,0,0
"5","G10","Left","Inner Ear","FLIR2259.jpg",2023-06-28 09:11:39,5,"G10 left inner ear","El1","99,6 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,37.5555555555556,1,0,1,0,0,0
"6","G10","Right","Inner Ear","FLIR2260.jpg",2023-06-28 09:11:50,6,"G10 right inner ear","El1","98,4 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,36.8888888888889,0,1,1,0,0,0
"7","G15","Right","Inner Ear","FLIR2272.jpg",2023-06-28 09:13:25,7,"G15 right inner ear","El1","101,1 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,38.3888888888889,0,1,1,0,0,0
"8","G15","Left","Inner Ear","FLIR2273.jpg",2023-06-28 09:13:36,8,"G15 left inner ear L","El1","101,5 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,38.6111111111111,1,0,1,0,0,0
"9","G18","Left","Inner Ear","FLIR2256.jpg",2023-06-28 09:10:53,9,"G18 left inner ear","El1","99,9 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,37.7222222222222,1,0,1,0,0,0
"10","G18","Right","Inner Ear","FLIR2257.jpg",2023-06-28 09:11:14,10,"G18 right inner ear","El1","99,0 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,37.2222222222222,0,1,1,0,0,0
"11","P03","Left","Inner Ear","FLIR2240.jpg",2023-06-28 07:54:01,11,"P03 left inner ear","El1","97,0 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,36.1111111111111,1,0,1,0,0,0
"12","P03","Left","Inner Ear","FLIR2241.jpg",2023-06-28 07:54:05,12,"P03 Left inner ear","El1","94,4 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,34.6666666666667,1,0,1,0,0,0
"13","P03","Right","Inner Ear","FLIR2239.jpg",2023-06-28 07:53:45,13,"P03 right inner ear","El1","94,0 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,34.4444444444444,0,1,1,0,0,0
"14","P12","Left","Inner Ear","FLIR2250.jpg",2023-06-28 07:56:05,14,"P12 Left inner ear","El1","92,9 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,33.8333333333333,1,0,1,0,0,0
"15","P12","Right","Inner Ear","FLIR2252.jpg",2023-06-28 07:56:22,15,"P12 Right inner ear","El1","93,2 °F","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/28 June 2023 Boma 2 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,34,0,1,1,0,0,0
"16","P21","Left","Inner Ear","FLIR2292.jpg",2023-06-29 07:44:08,1,"P21 left inner ear","El1","35,1 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,35.1,1,0,1,0,0,0
"17","P21","Right","Inner Ear","FLIR2295.jpg",2023-06-29 07:44:42,2,"P21 right inner ear","El1","34,7 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,34.7,0,1,1,0,0,0
"18","P25","Left","Inner Ear","FLIR2321.jpg",2023-06-29 08:56:06,3,"P25 LEFT inner ear","El1","36,4 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,36.4,1,0,1,0,0,0
"19","P25","Right","Inner Ear","FLIR2319.jpg",2023-06-29 08:55:39,4,"P25 right inner ear","El1","37,6 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,37.6,0,1,1,0,0,0
"20","Y02","Left","Inner Ear","FLIR2288.jpg",2023-06-29 07:43:28,5,"Y02 left inner ear","El1","35,6 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,35.6,1,0,1,0,0,0
"21","Y02","Right","Inner Ear","FLIR2290.jpg",2023-06-29 07:43:56,6,"Y02 right inner ear","El1","35,1 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,35.1,0,1,1,0,0,0
"22","Y04","Left","Inner Ear","FLIR2309.jpg",2023-06-29 08:53:54,7,"Y04 Left inner ear","El1","37,3 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,37.3,1,0,1,0,0,0
"23","Y04","Right","Inner Ear","FLIR2306.jpg",2023-06-29 08:53:20,8,"Y04 RIGHT inner ear","El1","37,9 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,37.9,0,1,1,0,0,0
"24","Y08","Left","Inner Ear","FLIR2300.jpg",2023-06-29 08:52:04,9,"Y08 LEFT inner ear","El1","37,7 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,37.7,1,0,1,0,0,0
"25","Y08","Right","Inner Ear","FLIR2298.jpg",2023-06-29 08:51:44,10,"Y08 RIGHT inner ear","El1","38,0 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,38,0,1,1,0,0,0
"26","Y13","Left","Inner Ear","FLIR2281.jpg",2023-06-29 07:42:29,11,"Y13 Left inner ear","El1","36,1 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,36.1,1,0,1,0,0,0
"27","Y13","Right","Inner Ear","FLIR2282.jpg",2023-06-29 07:42:34,12,"Y13 Right inner ear","El1","35,7 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,35.7,0,1,1,0,0,0
"28","W05","Left","Inner Ear","FLIR2304.jpg",2023-06-29 08:52:54,13,"W05 LEFT inner ear","El1","37,9 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,37.9,1,0,1,0,0,0
"29","W05","Right","Inner Ear","FLIR2303.jpg",2023-06-29 08:52:39,14,"W05 RIGHT inner ear","El1","37,9 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,37.9,0,1,1,0,0,0
"30","W12","Left","Inner Ear","FLIR2277.jpg",2023-06-29 07:41:46,15,"W12 left inner ear","El1","35,7 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,35.7,1,0,1,0,0,0
