"","file.number","day","hms","file.directory"
"1","Distance experiment P13 and P04","2023-07-31","00:52:36","Distance experiment/Distance experiment P13 and P04/FLIR4101.jpg"
"2","Distance experiment P13 and P04","2023-07-31","00:52:56","Distance experiment/Distance experiment P13 and P04/FLIR4102.jpg"
"3","Distance experiment P13 and P04","2023-07-31","00:53:14","Distance experiment/Distance experiment P13 and P04/FLIR4103.jpg"
"4","Distance experiment P13 and P04","2023-08-08","11:48:45","Distance experiment/Distance experiment P13 and P04/FLIR4104.jpg"
"5","Distance experiment P13 and P04","2023-08-08","11:50:18","Distance experiment/Distance experiment P13 and P04/FLIR4105.jpg"
"6","Distance experiment P13 and P04","2023-07-31","00:53:36","Distance experiment/Distance experiment P13 and P04/FLIR4106.jpg"
"7","Distance experiment P13 and P04","2023-08-08","11:51:18","Distance experiment/Distance experiment P13 and P04/FLIR4107.jpg"
"8","Distance experiment P13 and P04","2023-08-08","11:52:03","Distance experiment/Distance experiment P13 and P04/FLIR4108.jpg"
"9","Distance experiment P13 and P04","2023-08-08","11:53:29","Distance experiment/Distance experiment P13 and P04/FLIR4109.jpg"
"10","Distance experiment P13 and P04","2023-08-08","11:54:44","Distance experiment/Distance experiment P13 and P04/FLIR4110.jpg"
"11","Distance experiment P13 and P04","2023-08-08","11:56:02","Distance experiment/Distance experiment P13 and P04/FLIR4111.jpg"
"12","Distance experiment P13 and P04","2023-08-08","11:57:08","Distance experiment/Distance experiment P13 and P04/FLIR4112.jpg"
"13","Distance experiment P13 and P04","2023-08-08","11:58:10","Distance experiment/Distance experiment P13 and P04/FLIR4113.jpg"
"14","Distance experiment P13 and P04","2023-07-31","00:55:54","Distance experiment/Distance experiment P13 and P04/FLIR4114.jpg"
"15","Distance experiment P13 and P04","2023-08-08","11:59:27","Distance experiment/Distance experiment P13 and P04/FLIR4115.jpg"
"16","Distance experiment P13 and P04","2023-08-08","12:00:18","Distance experiment/Distance experiment P13 and P04/FLIR4116.jpg"
"17","Distance experiment P13 and P04","2023-07-31","00:56:20","Distance experiment/Distance experiment P13 and P04/FLIR4117.jpg"
"18","Distance experiment P13 and P04","2023-08-08","12:01:12","Distance experiment/Distance experiment P13 and P04/FLIR4118.jpg"
"19","Distance experiment P13 and P04","2023-07-31","00:56:40","Distance experiment/Distance experiment P13 and P04/FLIR4119.jpg"
"20","Distance experiment P13 and P04","2023-08-08","12:08:19","Distance experiment/Distance experiment P13 and P04/FLIR4120.jpg"
"21","Distance experiment P13 and P04","2023-08-08","12:09:17","Distance experiment/Distance experiment P13 and P04/FLIR4121.jpg"
"22","Distance experiment P13 and P04","2023-08-08","12:10:26","Distance experiment/Distance experiment P13 and P04/FLIR4122.jpg"
"23","Distance experiment P13 and P04","2023-08-08","12:11:24","Distance experiment/Distance experiment P13 and P04/FLIR4123.jpg"
"24","Distance experiment P13 and P04","2023-07-31","00:58:06","Distance experiment/Distance experiment P13 and P04/FLIR4124.jpg"
"25","Distance experiment P13 and P04","2023-08-08","12:14:38","Distance experiment/Distance experiment P13 and P04/FLIR4125.jpg"
"26","Distance experiment P13 and P04","2023-08-08","12:15:24","Distance experiment/Distance experiment P13 and P04/FLIR4126.jpg"
"27","Distance experiment P13 and P04","2023-08-08","12:16:05","Distance experiment/Distance experiment P13 and P04/FLIR4127.jpg"
"28","Distance experiment P13 and P04","2023-08-08","12:12:21","Distance experiment/Distance experiment P13 and P04/FLIR4128.jpg"
"29","Distance experiment P13 and P04","2023-08-08","12:12:49","Distance experiment/Distance experiment P13 and P04/FLIR4129.jpg"
"30","Distance experiment P13 and P04","2023-08-08","12:13:39","Distance experiment/Distance experiment P13 and P04/FLIR4130.jpg"
"31","Distance experiment P13 and P04","2023-07-31","00:59:54","Distance experiment/Distance experiment P13 and P04/FLIR4131.jpg"
"32","Distance experiment P13 and P04","2023-08-08","12:02:22","Distance experiment/Distance experiment P13 and P04/FLIR4132.jpg"
"33","Distance experiment P13 and P04","2023-07-31","01:00:08","Distance experiment/Distance experiment P13 and P04/FLIR4133.jpg"
"34","Distance experiment P13 and P04","2023-08-08","12:05:13","Distance experiment/Distance experiment P13 and P04/FLIR4134.jpg"
